timestamp,open,high,low,close,adjusted close,volume,dividend amount
2020-02-28,1461.6500,1530.7400,1268.2100,1339.2500,66.8861,41565155,0.0000
2020-01-31,1348.4100,1500.5800,1346.4900,1432.7800,71.5572,33629150,0.0000
2019-12-31,1302.5600,1367.0500,1277.0500,1339.3900,66.8931,28279817,0.0000
2019-11-29,1265.8000,1333.9200,1259.7100,1304.0900,65.1301,26359574,0.0000
2019-10-31,1222.4900,1299.2400,1163.1400,1258.8000,62.8682,30611918,0.0000
2019-09-30,1181.8500,1248.0200,1163.7100,1221.1400,60.9873,26274335,0.0000
2019-08-30,1217.6300,1236.3000,1142.7500,1190.5300,59.4586,29345892,0.0000
2019-07-31,1101.0400,1268.3900,1095.3300,1218.2000,60.8405,35763639,0.0000
2019-06-28,1066.9300,1126.5700,1027.0300,1082.8000,54.0782,35623822,0.0000
2019-05-31,1197.5000,1199.2500,1103.3500,1106.5000,55.2618,37137156,0.0000
2019-04-30,1187.5400,1296.9700,1183.0000,1198.9600,59.8796,32374805,0.0000
2019-03-29,1131.0000,1236.4400,1130.2000,1176.8900,58.7773,33186195,0.0000
2019-02-28,1122.2900,1154.0000,1093.5900,1126.5500,56.2632,32610016,0.0000
2019-01-31,1027.2000,1127.6700,1022.3700,1125.8900,56.2302,34860110,0.0000
2018-12-31,1132.1600,1135.0000,977.6600,1044.9600,52.1884,42869863,0.0000
2018-11-30,1091.4000,1109.9300,1002.2100,1109.6500,55.4192,39313400,0.0000
2018-10-31,1213.0000,1224.5200,1007.2000,1090.5800,54.4668,56549878,0.0000
2018-09-28,1222.5200,1227.8700,1151.5000,1207.0800,60.2851,35927191,0.0000
2018-08-31,1239.1100,1271.9600,1204.0000,1231.8000,61.5197,34298428,0.0000
2018-07-31,1115.3500,1291.4400,1106.6000,1227.2200,61.2910,41806085,0.0000
2018-06-29,1112.8700,1201.4900,1106.0700,1129.1900,56.3951,40184605,0.0000
2018-05-31,1016.3000,1118.1500,1007.8900,1100.0000,54.9372,37036543,0.0000
2018-04-30,1027.6200,1097.5100,994.2500,1018.5800,50.8709,49252199,0.0000
2018-03-29,1109.5400,1178.1600,984.0000,1037.1400,51.7978,50738448,0.0000
2018-02-28,1175.9900,1187.4500,997.0000,1103.9200,55.1330,48581820,0.0000
2018-01-31,1053.0200,1198.0000,1053.0200,1182.2200,59.0435,31746835,0.0000
2017-12-29,1030.4100,1086.4900,1002.3200,1053.4000,52.6099,29093692,0.0000
2017-11-30,1036.3200,1080.0000,1028.6600,1036.1700,51.7494,27895294,0.0000
2017-10-31,975.6500,1063.6200,961.9500,1033.0400,51.5930,35135039,0.0000
2017-09-29,957.4700,975.8100,924.5101,973.7200,48.6304,28940676,0.0000
2017-08-31,947.8100,957.1950,918.6000,955.2400,47.7075,31859046,0.0000
2017-07-31,933.2200,1006.1900,915.3100,945.5000,47.2210,40338583,0.0000
2017-06-30,990.9600,1008.6100,929.6000,929.6800,46.4309,43247076,0.0000
2017-05-31,924.1500,999.6000,920.8000,987.0900,49.2982,34853054,0.0000
2017-04-28,848.7500,935.9000,834.6000,924.5200,46.1732,24344962,0.0000
2017-03-31,851.3800,874.4200,824.3000,847.8000,42.3416,34553208,0.0000
2017-02-28,824.0000,853.7900,812.0510,844.9300,42.1983,26492197,0.0000
2017-01-31,800.6200,867.0000,796.8900,820.1900,40.9627,36840255,0.0000
2016-12-30,778.5500,824.3000,753.3600,792.4500,39.5773,34356689,0.0000
2016-11-30,810.8700,816.0400,743.5900,775.8800,38.7497,48353316,0.0000
2016-10-31,802.5500,839.0000,796.2300,809.9000,40.4488,35391730,0.0000
2016-09-30,791.9800,819.0600,783.5000,804.0600,40.1571,31576994,0.0000
2016-08-31,786.6700,813.8790,785.0400,789.8500,39.4474,28857075,0.0000
2016-07-29,705.1000,803.9400,699.0000,791.3400,39.5218,32667502,0.0000
2016-06-30,748.4700,751.3700,672.6600,703.5300,35.1363,41979195,0.0000
2016-05-31,711.9200,753.4800,704.0500,748.8500,37.3998,34108232,0.0000
2016-04-29,757.1600,790.9500,703.2000,707.8800,35.3536,46661769,0.0000
2016-03-31,721.3000,777.3100,704.0000,762.9000,38.1015,42564849,0.0000
2016-02-29,771.2600,810.3500,682.0100,717.2200,35.8201,67647477,0.0000
2016-01-29,762.2000,769.2000,687.7800,761.3500,38.0240,51999240,0.0000
2015-12-31,766.9400,798.6900,736.2600,778.0100,38.8561,43650531,0.0000
2015-11-30,737.8800,782.9000,731.4500,762.8500,38.0990,37574197,0.0000
2015-10-30,637.9400,752.5000,631.1150,737.3900,36.8274,50293840,0.0000
2015-09-30,633.6600,681.9900,617.8400,637.2000,31.8236,43458108,0.0000
2015-08-31,657.6600,704.0000,593.0900,647.8200,32.3540,55344735,0.0000
2015-07-31,543.6600,713.3300,539.7600,657.5000,32.8375,68543766,0.0000
2015-06-30,548.7300,565.6100,538.8506,540.0400,26.9712,35218182,0.0000
2015-05-29,550.5100,558.2400,532.2350,545.3200,27.2349,32421761,0.0000
2015-04-30,554.8300,584.7000,529.0000,548.7700,27.4072,43746541,0.0000
2015-03-31,567.0000,583.2000,550.3300,554.7000,27.7033,43207344,0.0000
2015-02-27,534.3200,569.4200,521.7200,562.6300,28.0994,40420326,0.0000
2015-01-30,532.6000,545.4100,490.9100,537.5500,26.8468,52843510,0.0000
2014-12-31,545.0900,548.7900,497.1900,530.6600,26.5027,54469614,0.0000
2014-11-28,563.5300,567.1500,539.1900,549.0800,27.4227,29775322,0.0000
2014-10-31,586.8000,592.4000,518.4100,567.8700,28.3611,55503010,0.0000
2014-09-30,582.9500,605.4000,577.0100,588.4100,29.3869,35413703,0.0000
2014-08-29,578.5550,597.8100,567.4500,582.3600,29.0848,29046600,0.0000
